-0.590 -0.442 -0.331 -0.248 -0.185 -0.138 -0.103 -0.076 -0.056 -0.041 -0.030 -0.022 -0.016 -0.012 -0.009 -0.006 -0.005 -0.004 -0.003 -0.003 -0.003 -0.002 -0.002 -0.001 -0.001 -0.000  0.001  0.001  0.002  0.003  0.003  0.003  0.004  0.004  0.004  0.003  0.003  0.002  0.002  0.001  0.001  0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000  0.000  0.000  0.001  0.001  0.001  0.001  0.001  0.000 -0.000 -0.001 -0.001 -0.002 -0.002 -0.003 -0.003 -0.003 -0.003 
-0.636 -0.476 -0.356 -0.267 -0.199 -0.149 -0.111 -0.082 -0.061 -0.045 -0.033 -0.024 -0.018 -0.013 -0.010 -0.007 -0.005 -0.004 -0.003 -0.003 -0.002 -0.002 -0.001 -0.001 -0.000  0.000  0.001  0.001  0.002  0.002  0.003  0.003  0.003  0.003  0.003  0.003  0.002  0.002  0.002  0.001  0.001  0.000  0.000 -0.000 -0.000 -0.000 -0.000  0.000  0.000  0.000  0.000  0.001  0.001  0.000  0.000 -0.000 -0.000 -0.001 -0.001 -0.002 -0.002 -0.002 -0.003 -0.003 -0.003 
-0.628 -0.470 -0.352 -0.263 -0.197 -0.147 -0.110 -0.082 -0.061 -0.045 -0.033 -0.024 -0.018 -0.013 -0.009 -0.007 -0.005 -0.004 -0.003 -0.002 -0.002 -0.001 -0.001 -0.001 -0.000  0.000  0.001  0.001  0.002  0.002  0.002  0.003  0.003  0.003  0.003  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.001 -0.001 -0.001 -0.002 -0.002 -0.002 -0.002 -0.002 
-0.567 -0.425 -0.318 -0.238 -0.178 -0.133 -0.099 -0.074 -0.055 -0.040 -0.030 -0.022 -0.016 -0.012 -0.008 -0.006 -0.005 -0.003 -0.002 -0.002 -0.001 -0.001 -0.001 -0.000  0.000  0.001  0.001  0.001  0.002  0.002  0.002  0.002  0.002  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.001 -0.001 -0.001 -0.002 -0.002 -0.002 -0.002 -0.002 
-0.458 -0.343 -0.257 -0.192 -0.144 -0.107 -0.080 -0.059 -0.044 -0.033 -0.024 -0.017 -0.013 -0.009 -0.007 -0.005 -0.003 -0.002 -0.002 -0.001 -0.001 -0.000 -0.000  0.000  0.000  0.001  0.001  0.001  0.001  0.002  0.002  0.002  0.002  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.001 -0.001 -0.001 -0.001 -0.001 -0.002 -0.002 -0.002 
-0.311 -0.233 -0.174 -0.130 -0.097 -0.073 -0.054 -0.040 -0.030 -0.022 -0.016 -0.011 -0.008 -0.006 -0.004 -0.003 -0.002 -0.001 -0.001 -0.000 -0.000  0.000  0.000  0.001  0.001  0.001  0.001  0.001  0.001  0.002  0.002  0.002  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.001 -0.001 -0.001 -0.001 -0.001 -0.001 -0.001 -0.001 
-0.137 -0.103 -0.077 -0.058 -0.043 -0.032 -0.024 -0.017 -0.013 -0.009 -0.006 -0.004 -0.003 -0.002 -0.001 -0.000 -0.000  0.000  0.000  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.002  0.002  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.001 -0.001 -0.001 -0.001 -0.001 -0.001 -0.001 -0.001 
 0.048  0.035  0.026  0.020  0.015  0.011  0.009  0.007  0.006  0.005  0.004  0.003  0.003  0.003  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.002  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.001 -0.001 -0.001 -0.001 -0.001 -0.001 -0.001 -0.001 
 0.228  0.170  0.127  0.095  0.072  0.054  0.041  0.031  0.024  0.018  0.014  0.011  0.009  0.007  0.006  0.005  0.004  0.003  0.003  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.001 -0.001 -0.001 -0.001 -0.001 -0.001 -0.001 
 0.388  0.290  0.217  0.163  0.122  0.092  0.069  0.052  0.040  0.030  0.023  0.018  0.014  0.011  0.009  0.007  0.005  0.004  0.004  0.003  0.003  0.002  0.002  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.001 -0.001 -0.001 -0.001 -0.001 -0.001 -0.001 
 0.516  0.386  0.289  0.216  0.162  0.122  0.092  0.069  0.053  0.040  0.030  0.023  0.018  0.014  0.011  0.009  0.007  0.005  0.004  0.004  0.003  0.003  0.002  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.001 -0.001 -0.001 -0.001 -0.001 -0.001 
 0.599  0.448  0.336  0.252  0.189  0.142  0.107  0.081  0.061  0.046  0.035  0.027  0.021  0.016  0.013  0.010  0.008  0.006  0.005  0.004  0.003  0.003  0.003  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.001 -0.001 -0.001 -0.001 -0.001 
 0.631  0.472  0.354  0.266  0.200  0.150  0.113  0.086  0.065  0.049  0.038  0.029  0.022  0.017  0.013  0.010  0.008  0.007  0.005  0.004  0.004  0.003  0.003  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.001 -0.001 -0.001 
 0.609  0.457  0.343  0.258  0.194  0.146  0.110  0.083  0.063  0.048  0.037  0.028  0.022  0.017  0.013  0.010  0.008  0.007  0.005  0.004  0.004  0.003  0.003  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 
 0.536  0.403  0.303  0.228  0.172  0.130  0.098  0.075  0.057  0.043  0.033  0.026  0.020  0.016  0.012  0.010  0.008  0.006  0.005  0.004  0.004  0.003  0.003  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 
 0.419  0.315  0.238  0.180  0.136  0.103  0.079  0.060  0.046  0.035  0.027  0.021  0.017  0.013  0.010  0.008  0.007  0.005  0.005  0.004  0.003  0.003  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 
 0.266  0.202  0.153  0.117  0.089  0.068  0.053  0.041  0.032  0.025  0.019  0.015  0.012  0.010  0.008  0.006  0.005  0.004  0.004  0.003  0.003  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 
 0.093  0.073  0.057  0.045  0.036  0.028  0.023  0.018  0.015  0.012  0.010  0.008  0.007  0.006  0.005  0.004  0.004  0.003  0.003  0.003  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 
-0.087 -0.061 -0.043 -0.030 -0.020 -0.013 -0.008 -0.005 -0.002 -0.001  0.001  0.001  0.002  0.002  0.002  0.002  0.002  0.002  0.002  0.002  0.002  0.002  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 
-0.257 -0.189 -0.138 -0.100 -0.073 -0.052 -0.038 -0.027 -0.019 -0.013 -0.009 -0.006 -0.003 -0.002 -0.001 -0.000  0.000  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 
-0.403 -0.298 -0.219 -0.161 -0.118 -0.087 -0.063 -0.046 -0.033 -0.024 -0.017 -0.012 -0.008 -0.005 -0.003 -0.002 -0.001 -0.000  0.000  0.000  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 -0.000 
